"sample_label","npoc_mgL","npoc_ug_g","notes"
"COMPASS_Dec2021_107",3.026,18.52,""
"COMPASS_Dec2021_108",2.834,17.01,""
"COMPASS_Dec2021_109",1.955,11.74,""
"COMPASS_Dec2021_001_vac",15.59,,"vacuum-filtered"
"COMPASS_Dec2021_002_vac",7.39,,"vacuum-filtered"
"COMPASS_Dec2021_003_vac",8.159,,"vacuum-filtered"
"COMPASS_Dec2021_004_vac",6.162,,"vacuum-filtered"
"COMPASS_Dec2021_005_vac",5.746,,"vacuum-filtered"
"COMPASS_Dec2021_006_vac",5.329,,"vacuum-filtered"
"COMPASS_Dec2021_007_vac",12.2,,"vacuum-filtered"
"COMPASS_Dec2021_008_vac",5.617,,"vacuum-filtered"
"COMPASS_Dec2021_009_vac",5.912,,"vacuum-filtered"
"COMPASS_Dec2021_010_vac",9.464,,"vacuum-filtered"
"COMPASS_Dec2021_011_vac",4.967,,"vacuum-filtered"
"COMPASS_Dec2021_012_vac",3.987,,"vacuum-filtered"
"COMPASS_Dec2021_013_vac",5.497,,"vacuum-filtered"
"COMPASS_Dec2021_014_vac",4.905,,"vacuum-filtered"
"COMPASS_Dec2021_015_vac",7.983,,"vacuum-filtered"
"COMPASS_Dec2021_016_vac",14.6,,"vacuum-filtered"
"COMPASS_Dec2021_017_vac",6.126,,"vacuum-filtered"
"COMPASS_Dec2021_018_vac",6.223,,"vacuum-filtered"
"COMPASS_Dec2021_019_vac",4.176,,"vacuum-filtered"
"COMPASS_Dec2021_020_vac",2.292,,"vacuum-filtered"
"COMPASS_Dec2021_021",2.054,41.25,""
"COMPASS_Dec2021_022",3.88,98.4,""
"COMPASS_Dec2021_023",2.02,33.06,""
"COMPASS_Dec2021_024",3.896,82.85,""
"COMPASS_Dec2021_025",3.217,86.78,""
"COMPASS_Dec2021_026",2.797,57.17,""
"COMPASS_Dec2021_027",2.736,58.24,""
"COMPASS_Dec2021_028",2.134,37.06,""
"COMPASS_Dec2021_029",2.615,42.19,""
"COMPASS_Dec2021_030",3.016,50.28,""
"COMPASS_Dec2021_031",4.439,59.44,""
"COMPASS_Dec2021_032",2.225,38.37,""
"COMPASS_Dec2021_033",2.023,24.56,""
"COMPASS_Dec2021_034",4.676,39.21,""
"COMPASS_Dec2021_035",6.538,59.55,""
"COMPASS_Dec2021_036",4.961,42.9,""
"COMPASS_Dec2021_037",5.643,51.12,""
"COMPASS_Dec2021_038",5.445,48.85,""
"COMPASS_Dec2021_039",7.977,82.33,""
"COMPASS_Dec2021_040",7.778,78.24,""
"COMPASS_Dec2021_041",6.987,62.2,""
"COMPASS_Dec2021_042",7.884,75.54,""
"COMPASS_Dec2021_043",5.041,63.54,""
"COMPASS_Dec2021_044",6.158,100.15,""
"COMPASS_Dec2021_045",6.418,125.16,""
"COMPASS_Dec2021_046",3.087,53.27,""
"COMPASS_Dec2021_047",3.605,65.1,""
"COMPASS_Dec2021_048",3.295,51.26,""
"COMPASS_Dec2021_049",5.903,89.37,""
"COMPASS_Dec2021_050",3.328,64.38,""
"COMPASS_Dec2021_051",4.561,57.74,""
"COMPASS_Dec2021_052",1.708,38.94,"Noticed some streaks of a rusty orange in the sample bag, maybe oxidized Iron?"
"COMPASS_Dec2021_053",3.137,89.26,""
"COMPASS_Dec2021_054",2.528,50.78,"Noticed some streaks of a rusty orange in the sample bag, maybe oxidized Iron?"
"COMPASS_Dec2021_055",2.454,43.11,""
"COMPASS_Dec2021_056",3.214,42.38,""
"COMPASS_Dec2021_057",2.318,34.84,""
"COMPASS_Dec2021_058",7.924,129.62,""
"COMPASS_Dec2021_059",4.069,60.77,""
"COMPASS_Dec2021_060",5.607,103.29,""
"COMPASS_Dec2021_061",8.322,67.23,""
"COMPASS_Dec2021_062",8.287,67.19,""
"COMPASS_Dec2021_063",10.01,81.27,""
"COMPASS_Dec2021_067",7.629,62.53,""
"COMPASS_Dec2021_068",9.545,86.42,"hole in bag, double bagged"
"COMPASS_Dec2021_069",8.929,71.68,""
"COMPASS_Dec2021_070",5.297,51.89,""
"COMPASS_Dec2021_071",10.06,87.56,""
"COMPASS_Dec2021_072",3.81,39.74,"hole in the bag, put it in another bag."
"COMPASS_Dec2021_073",10.9,99.87,""
"COMPASS_Dec2021_074",8.91,98.07,""
"COMPASS_Dec2021_075",9.186,90.2,""
"COMPASS_Dec2021_076",6.242,61.63,""
"COMPASS_Dec2021_077",9.033,86.71,""
"COMPASS_Dec2021_078",8.034,92.91,""
"COMPASS_Dec2021_079",6.229,76.8,""
"COMPASS_Dec2021_080",5.81,61.8,""
"COMPASS_Dec2021_081",4.857,56.82,""
"COMPASS_Dec2021_082",4.604,51.03,""
"COMPASS_Dec2021_083",5.095,50.57,""
"COMPASS_Dec2021_084",5.977,73.6,""
"COMPASS_Dec2021_085",5.014,72.66,""
"COMPASS_Dec2021_086",4.807,57.68,""
"COMPASS_Dec2021_087",5.504,74.55,""
"COMPASS_Dec2021_088",3.634,43.45,""
"COMPASS_Dec2021_089",4.074,63.53,""
"COMPASS_Dec2021_090",3.893,50.5,""
"COMPASS_Dec2021_091",3.337,52.13,""
"COMPASS_Dec2021_092",3.205,39.89,""
"COMPASS_Dec2021_093",3.184,48.31,""
"COMPASS_Dec2021_094",3.928,54.85,""
"COMPASS_Dec2021_095",3.49,43.17,""
"COMPASS_Dec2021_096",17.07,106.04,""
"COMPASS_Dec2021_097",17.62,109.61,""
"COMPASS_Dec2021_098",16.74,104.46,""
"COMPASS_Dec2021_099",15.96,96.4,""
"COMPASS_Dec2021_100",9.269,58.23,""
"COMPASS_Dec2021_101",9.51,57.24,""
"COMPASS_Dec2021_102",5.932,37.03,""
"COMPASS_Dec2021_103",17.58,107.72,""
"COMPASS_Dec2021_106",15.68,,""
"COMPASS_Dec2021_110",5.942,36.35,""
"COMPASS_Dec2021_111",6.391,39.03,""
"COMPASS_Dec2021_112",10.97,75.69,""
"COMPASS_Dec2021_113",13.64,83.94,""
"COMPASS_Dec2021_114",7.964,58.3,""
"COMPASS_Dec2021_064",10.93,81.67,""
"COMPASS_Dec2021_065",8.502,70.08,""
"COMPASS_Dec2021_066",5.014,36.7,""
"COMPASS_Dec2021_115",10.28,72.82,""
"COMPASS_Dec2021_116",7.562,53.73,"120 label"
"COMPASS_Dec2021_117",3.957,29.42,""
"COMPASS_Dec2021_119",9.304,61.45,"123 label"
"COMPASS_Dec2021_120",8.61,60.97,""
"COMPASS_Dec2021_001",0.2007,1.74,"WSOC-syringe filtered"
"COMPASS_Dec2021_002",14.27,121.52,"WSOC-syringe filtered"
"COMPASS_Dec2021_003",6.523,54.32,"WSOC-syringe filtered"
"COMPASS_Dec2021_004",5.335,42.19,"WSOC-syringe filtered"
"COMPASS_Dec2021_005",4.644,38.48,"WSOC-syringe filtered"
